,id,link,title,time
0,37,https://www.youtube.com/watch?v=aNuqKB6H3Iw,Foggy Mountain Breakdown,2.743333333333333
1,74,https://www.youtube.com/watch?v=ABbc-O_3_Ac,Nowhere To Run,3.0133333333333336
2,736,https://www.youtube.com/watch?v=c6f6BOKXXxg,Do I Do,9.5
3,332,https://www.youtube.com/watch?v=MKLVmBOOqVU,Waiting On A Friend,4.446616666666667
4,1212,https://www.youtube.com/watch?v=BjHSOzVU5j0,Baby Don't Go,3.1866666666666665
5,25,https://www.youtube.com/watch?v=fEFsBF1X1ow,Chicago,4.190000166666667
6,159,https://www.youtube.com/watch?v=OSGGmOf_zdU,Little Sister,2.566666666666667
7,430,https://www.youtube.com/watch?v=3ZwQRCkKxNE,I Want A New Drug,4.766666666666667
8,1239,https://www.youtube.com/watch?v=cbxxkwBQk_o,Will You Love Me Tomorrow,2.640000166666667
9,43,https://www.youtube.com/watch?v=97_XpAE1YmQ,Two Hearts,3.4133333333333336
10,812,https://www.youtube.com/watch?v=QGe1z8G-rRk,Super Freak (Part I),3.7066668333333337
11,849,https://www.youtube.com/watch?v=3EoI-6lQFIE,Do You Love Me,2.9033333333333333
12,377,https://www.youtube.com/watch?v=uUoZ3qnNuRo,I Can't Stand The Rain,2.6
13,414,https://www.youtube.com/watch?v=OR0GZvDSCwY,Someone,3.8266666666666667
14,382,https://www.youtube.com/watch?v=Jt2j79pca7c,Where The Streets Have No Name,4.423333333333333
15,987,https://www.youtube.com/watch?v=nu6VbUAhs1M,Baby I'm Burnin',2.683333333333333
16,591,https://www.youtube.com/watch?v=DI_rkZIuHzw,The Long Run,3.703333333333333
17,1235,https://www.youtube.com/watch?v=6ZINvp6SEw4,For Ol' Times Sake,3.6533333333333333
18,723,https://www.youtube.com/watch?v=8f_pWy8f1mg,Maybe Tomorrow,3.1
19,783,https://www.youtube.com/watch?v=tsE7W4RRdNg,Hot Child In The City,3.1599999999999997
20,995,https://www.youtube.com/watch?v=355Fk8drgZE,Gloria,3.81
21,769,https://www.youtube.com/watch?v=ZONKoKIQ9RY,All Through The Night,4.583333333333333
22,886,https://www.youtube.com/watch?v=V-xpJRwIA-Q,Dance Hall Days,3.966666666666667
23,12,https://www.youtube.com/watch?v=upYF91cJJ2g,Lookin' For Love,3.646666666666667
24,1225,https://www.youtube.com/watch?v=UGYE77y4qY4,I've Got A Tiger By The Tail,2.1566668333333334
25,170,https://www.youtube.com/watch?v=a1sf2CzEq0w,Twilight Zone,4.716666666666667
26,958,https://www.youtube.com/watch?v=uetJoJj0M88,Miss You,4.833333333333333
27,1282,https://www.youtube.com/watch?v=icHU5zB5fLM,Crackerbox Palace,3.996666666666667
28,969,https://www.youtube.com/watch?v=DQoDqAdoBkY,Don't Ask Me Why,2.9866666666666664
29,1114,https://www.youtube.com/watch?v=RKeqXyY-9xA,Wichita Lineman,3.1300000000000003
30,905,https://www.youtube.com/watch?v=EkaKwXddT_I,Teach Your Children,2.9
31,709,https://www.youtube.com/watch?v=wYYDaDPmqBs,Caught Up In The Rapture,5.283333333333333
32,114,https://www.youtube.com/watch?v=zt51rITH3EA,Sunshine Of Your Love,4.090000166666667
33,147,https://www.youtube.com/watch?v=2jwyJvibWlc,Wheels,1.9433333333333331
34,1218,https://www.youtube.com/watch?v=O3iEFfA4TmI,Behind Closed Doors,3.1
35,481,https://www.youtube.com/watch?v=i09T799aNS8,"Baby, Baby Don't Cry",3.9833333333333334
36,1012,https://www.youtube.com/watch?v=4LdUme7QZLY,All This Time,4.86
37,236,https://www.youtube.com/watch?v=mz7bqxeVgNw,"Tonight, Tonight, Tonight",8.893334000000001
38,99,https://www.youtube.com/watch?v=Axv9_YEhu_Q,A Trick Of The Night,4.61
39,444,https://www.youtube.com/watch?v=bTYw6IJoI_Q,I Really Don't Want To Know,2.7566668333333335
40,978,https://www.youtube.com/watch?v=pHneYH4Isxg,The Look Of Love,11.233333333333333
41,765,https://www.youtube.com/watch?v=WVDSKaua0_U,Too Weak To Fight,2.296666666666667
42,322,https://www.youtube.com/watch?v=I65PxlOlHA4,Bird Dog,2.216666666666667
43,78,https://www.youtube.com/watch?v=5ZOTtZPr5Ew,Dial My Heart,4.466666666666667
44,209,https://www.youtube.com/watch?v=JoGweOFqapU,Already Gone,4.266666666666667
45,92,https://www.youtube.com/watch?v=CnVf1ZoCJSo,Shock The Monkey,4.05
46,770,https://www.youtube.com/watch?v=x3qhle8Oy9s,Hair,3.55
47,503,https://www.youtube.com/watch?v=oDB06Shv8zY,Good Vibrations,4.530000333333334
48,517,https://www.youtube.com/watch?v=85Smw33PKJA,All Those Years Ago,3.67
49,329,https://www.youtube.com/watch?v=2gQEDwjhaDE,Smoking Gun,4.190000166666667
